序號/編號,縣市別代碼,地址-行政區域代碼,車站名稱,電梯,電扶梯,銀行ATM,哺集乳室,嬰兒尿布台,飲水機/飲水臺,充電站,自動售票機,廁所
56,63000,63000120,復興崗,月臺電梯：一、二 月臺樓梯後方,付費區,非付費區，近出口1,無,付費區，男、女廁,出口1,非付費區，近出口1,近出口1、出口2,付費區，近出口1
57,63000,63000120,忠義,月臺電梯：一、二 月臺樓梯後方,付費區,非付費區，近出口1,無,付費區，男、女廁,出口1右側,非付費區，近出口1,近出口1、出口2,付費區，近出口1
58,63000,63000120,關渡,月臺電梯：一、二 月臺樓梯後方,付費區,非付費區，近出口1,無,付費區，男、女廁,出口1,非付費區，近出口1,近出口1、出口2,付費區，近出口1
59,65000,65000100,竹圍,月臺電梯：一、二 月臺樓梯後方,付費區,非付費區，近出口1,無,付費區，男、女廁,出口1,非付費區，近出口1,近出口1、出口2,付費區，近出口1
60,65000,65000100,紅樹林,月臺電梯：一、二 月臺樓梯後方,付費區、出口1,非付費區，近出口1,無,付費區，男、女廁,出口1,付費區，近出口1,近出口1、出口2,付費區，近出口1
61,65000,65000100,淡水,月臺電梯：電扶梯後方,付費區、出口1、出口2、出口3,非付費區，近出口1、出口2,付費區，大廳層，近出口1,"付費區，哺集乳室
非付費區，親子無障礙廁所，近出口3
男、女廁",出口1,付費區，近出口1,近出口1、出口2、出口3,"非付費區，近站後公園
非付費區，近公車站
非付費區，近出口1"
62,65000,65000130,頂埔,"1.出口電梯：
出口1 (中央路4段約100號旁)
出口3 (中央路4段51-6號)
出口4 (中央路4段62號旁)
2.月臺電梯：大廳層付費區中央處",付費區、出口1、出口2、出口3,非付費區，近出口1、出口4,付費區，B3大聽層,"付費區，哺集乳室
親子無障礙廁所
男、女廁",近詢問處,西側大廳非付費區，近出口2,近出口1、出口4,"非付費區，近出口3
付費區，大廳層"
63,65000,65000130,永寧,"1.出口電梯：出口1（中央路3段與承天路口，臨康是美）、出口2（中央路3段與承天路口停車場旁）
2.月臺電梯：大廳層西側付費區，臨近詢問處",付費區、出口1、出口2、出3、出口4,非付費區，近出口1、出口4,無,非付費區，男、女廁,近詢問處,西側大廳付費區內，東側大廳非付費區,近出口1、出口4,"非付費區、近出口3
非付費區、近出口2"
64,65000,65000130,土城,"1.出口電梯：出口1（金城路旁）
2.月臺電梯：大廳層東側付費區",付費區、出口1、出口2,非付費區，近出口1、出口2,無,非付費區，男、女廁,近詢問處,付費區，近詢問處；非付費區，近出口1、出口2,近出口1、出口2,非付費區、近出口3
65,65000,65000130,海山,"1.出口電梯：出口2（臨新北高工運動場側邊）  
 2.月臺電梯：大廳層西側付費區，月臺層中央",付費區、出口1、出口2、出口3,非付費區，近出口1、出口2,無,付費區，男、女廁,近詢問處,付費區，近詢問處；非付費區，近出站閘門口,近出口1、出口2、出口3,付費區、大廳電梯後方
66,65000,65000010,亞東醫院,"1.出口電梯：出口3（南雅南路2段）
 2.月臺電梯：大廳層西側付費區",付費區、出口1、出口2、出口3,非付費區，近出口2、出口3,無,付費區，男、女廁,出口3,"非付費區，近出口3             
付費區，近往月台扶梯",近出口1、出口2、出口3,付費區、大廳電梯後方
67,65000,65000010,府中,"1.出口電梯：出口1〈近府中路側〉
 2.月臺電梯：大廳層西側付費區，臨近詢問處",付費區、出口1、出口2,非付費區，近出口1、出口2,無,付費區，男、女廁,出口1,大廳付費區，出口2大廳層,近出口1、出口2,付費區、詢問處旁
68,65000,65000010,板橋(板南線),"1.出口電梯：出口3（臨站前路）
 2.月臺電梯：大廳層北側付費區，臨近詢問處",付費區、出口1、出口2、出口3,非付費區，近出口3,非付費區，大廳層,"非付費區，哺集乳室
非付費區，男、女廁",近詢問處,"付費區
非付費區，近出口1、出口2",近出口1、出口2、出口3,非付費區、近出口3
69,65000,65000010,新埔,"1.出口電梯：出口4（臨文化路2段)、出口5（臨民生路3段）
2.月臺電梯：大廳層東側付費區，臨近詢問處",付費區、出口1  、出口2、出口3、出口4、出口5,非付費區，近出口1及出口4,非付費區，大廳層,"非付費區，親子無障礙廁所
非付費區，男、女廁",近詢問處,非付費區通道，近詢問處及西側亞尼克販賣機,近出口2、近出口4,非付費區、近出口4、出口5
70,65000,65000010,江子翠,"1.出口電梯：出口3（臨文化路2段）
2.月臺電梯：大廳層西側付費區，臨近詢問處",付費區、出口1、出口2、出口3、出口4、出口5、出口6,非付費區，近出口3、出口5、出口6,無,"非付費區，親子無障礙廁所
非付費區，男、女廁",近詢問處,非付費區，近出口1、出口6,近出口3、出口5、出口6,非付費區、近出口1、出口2、出口3
71,63000,63000072,龍山寺,"1.出口電梯：出口1（臨西園路1段）及出口2（B1至龍山商場夾層）
 2.月臺電梯：大廳層中間付費區，臨近詢問處",付費區、出口1、出口2,非付費區，近出口1,無,"付費區，親子無障礙廁所
付費區，男、女廁",出口1,付費區，近往月臺電梯,近出口1、出口2、出口3,付費區、大廳電梯旁
