Line,Station_Number,Station_Name,Station_Form,PAO,Elevator_and_Wheelchair_Ramps,Ticket_Gates_for_the_Disabled,Toilet_Facilities_for_Disabled,Reserved_Spaces_for_Wheelchairs,Doors_Open_Side,Elevator,Anti_slip_Strips,Train_Destination_Announcements,Public_Address_System,Priority_Seats_for_Visually_Impaired_Passengers,Tactile_Guide_Paths_quantity,Passenger_Information_Display_Systems_count,door_indicator_light_count,Train_Passenger_Information_Systems_quantity,1999_Sign_Language_Service_quantity
板南線,BL02,永寧站,地下,大廳層(B1)，近出口2,出口1、出口2,主詢問處旁,非付費區(B1)、近出口3；非付費區(B1)、近出口2,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
板南線,BL03,土城站,地下,大廳層(B1)，近出口1,出口1,主詢問處旁,非付費區(B1)、近出口3,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
板南線,BL04,海山站,地下,大廳層(B1)，近出口2,出口2,主詢問處旁,付費區(B1)、大廳電梯後方,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
板南線,BL05,亞東醫院站,地下,大廳層(B1)，近出口1、2,出口3,主詢問處旁,付費區(B1)、大廳電梯後方,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
板南線,BL06,府中站,地下,大廳層(B2)，近出口1,出口1,主詢問處旁,付費區(B2)、詢問處旁,第1節、第6節車廂,往南港展覽館-左側開門，往頂埔-右側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
板南線/環狀線,BL07/Y16,板橋站,【板南線】地下。【環狀線】高架。,【板南線】大廳層(B2)，近出口3。【環狀線】大廳層(3樓)，近出口4。,【板南線】出口3。【環狀線】出口4、出口5。,主詢問處旁,【板南線】非付費區(B2)，近出口3。【環狀線】非付費區(3樓)，近出口5。,【板南線】第1節、第6節車廂。【環狀線】第1節、第4節車廂。,左側開門。,有,有,有,有,【板南線】一、二月臺前端。【環狀線】無。,【板南線】/【環狀線】出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
板南線,BL08,新埔站,地下,大廳層(B1)，近出口4,出口4、出口5,主詢問處旁,非付費區(B1)、近出口4、5,第1節、第6節車廂,左側開門。,有,有,有,有,二月臺前端,出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
板南線,BL09,江子翠站,地下,大廳層(B1)，近出口1、2,出口3,主詢問處旁,非付費區(B1)、近出口1、2、3,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
板南線,BL10,龍山寺站,地下,大廳層(B1)，近出口2,出口1,主詢問處旁,付費區(B1)、大廳電梯旁,第1節、第6節車廂,左側開門。,有,有,有,有,二月臺前端,出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
板南線/松山新店線,BL11/G12,西門站,地下,大廳層(B1)，近出口1、6,出口4、出口6,主詢問處旁,付費區(B1)、大廳電梯後方,第1節、第6節車廂,【板南線】往南港展覽館-右側開門，往頂埔-左側開門。【松山新店線】往松山-左側開門，往新店-右側開門。,有,有,有,有,【板南線】一、三月臺前端。【松山新店線】無。,【板南線】/【松山新店線】出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
板南線,BL13,善導寺站,地下,大廳層(B1)，近出口1、2、3,出口3,主詢問處旁,非付費區(B1)，近出口1、2、3,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
板南線/中和新蘆線,BL14/O07,忠孝新生站,【板南線】/【中和新蘆線】地下,【板南線】大廳層(B1)，近出口1、2。【中和新蘆線】大廳層(B1)，近出口5、7。,出口2、出口3,主詢問處旁、簡易詢問處旁,【板南線】非付費區(B1)，近出口1、2。【中和新蘆線】付費區(B1)，大廳中間。,第1節、第6節車廂,【板南線】左側開門。【中和新蘆線】左側開門。,有,有,有,有,【板南線】一、二月臺前端。【中和新蘆線】三、四月臺前端。,【板南線】出口電梯--大廳無障礙閘門--月臺電梯--月臺。【中和新蘆線】0。,1,1,1,0
板南線,BL16,忠孝敦化站,地下,大廳層(B2)，近出口1、2、3、4,出口2,主詢問處旁,非付費區(B2)，近出口1、2、3、4,第1節、第6節車廂,左側開門。,有,有,有,有,一、二月臺前端,出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
板南線,BL17,國父紀念館站,地下,大廳層(B1)，近出口3、4、5,出口3、4中間、出口5,主詢問處旁,非付費區(B1)，近出口3、4、5,第1節、第6節車廂,左側開門。,有,有,有,有,一、二月臺前端,出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
板南線,BL18,市政府站,地下,大廳層(B1)，近出口1,出口2,主詢問處旁,非付費區(B1)，近出口1、2,第1節、第6節車廂,左側開門。,有,有,有,有,一、二月臺前端,出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
板南線,BL19,永春站,地下,大廳層(B1)，近出口3、4、5,出口5,主詢問處旁,非付費區(B1)，近出口3、4、5,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
板南線,BL20,後山埤站,地下,大廳層(B1)，近出口3、4,出口3,主詢問處旁,非付費區(B1)，近出口3、4,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
板南線,BL21,昆陽站,地下,大廳層(1樓)，近出口4,出口4,主詢問處旁,付費區(1樓)，月臺電梯旁,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
板南線,BL22,南港站,地下,大廳層(B2)，近2A連通道,出口2,主詢問處旁,非付費區(B2)，近出口1；付費區(B2)，大廳電梯旁,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
淡水信義線,R02,象山站,地下,大廳層(B1)，近出口1、2,出口1、出口2,主詢問處旁,付費區(B1)，近往月臺電梯,第1節、第6節車廂,左側開門。右側開門。,有,有,有,有,無,0,1,1,1,0
淡水信義線,R03,台北101/世貿站,地下,大廳層(B1)，近出口3、4、5,出口3、出口4、出口5,主詢問處旁,付費區(B1)，近往月臺電梯；非付費區(B1)，近出口4，往台北101通道,第1節、第6節車廂,左側開門。,有,有,有,有,無,0,1,1,1,0
淡水信義線,R04,信義安和站,地下,大廳層(B1)，近出口3、4、5,2A出口、出口5,主詢問處旁,付費區(B1)，近往月臺電梯,第1節、第6節車廂,左側開門。,有,有,有,有,無,0,1,1,1,0
淡水信義線,R06,大安森林公園站,地下,大廳層(B1)，近出口4、5、6,出口4、出口5、出口6,主詢問處旁,非付費區(B1)，近出口3；非付費區(B1)，近出口5,第1節、第6節車廂,左側開門。,有,有,有,有,無,0,1,1,1,0
松山新店線,G13,北門站,地下,大廳層(B2)，近出口1,出口2、出口3,主詢問處旁,非付費區(B1)，近出口2；非付費區(B2)，近1號詢問處,第1節、第6節車廂,右側開門。,有,有,有,有,無,0,1,1,1,0
松山新店線,G17,台北小巨蛋站,地下,大廳層(B1)，近出口3、4,出口1、出口2、出口3,主詢問處旁,非付費區(B1)，近出口2；付費區(B1)，近出口3、4,第1節、第6節車廂,左側開門。,有,有,有,有,無,0,1,1,1,0
松山新店線,G18,南京三民站,地下,大廳層(B1)，近出口1、2,出口1、出口2,主詢問處旁,非付費區(B1)，近出口2、3；付費區(B1)，近出口1、4,第1節、第6節車廂,左側開門。,有,有,有,有,無,0,1,1,1,0
松山新店線,G19,松山站,地下,大廳層(B2)，近出口5,出口3、出口5,主詢問處旁,非付費區(B2)，近東側橢圓大廳；付費區(B2)，大廳層中央,第1節、第6節車廂,左側開門。右側開門。,有,有,有,有,無,0,1,1,1,0
中和新蘆線,O19,輔大站,地下,大廳層(B1)，近出口1、2,出口1、出口2,主詢問處旁,非付費區(B1)，近出口2；付費區(B1)，近往月臺電梯,第1節、第6節車廂,左側開門。,有,有,有,有,二月臺前端,0,1,1,1,0
中和新蘆線,O18,新莊站,地下,大廳層(B1)，近出口1、2,出口1、出口2,主詢問處旁,非付費區(B1)，近出口1；付費區(B1)，近大廳東側,第1節、第6節車廂,左側開門。,有,有,有,有,無,0,1,1,1,0
中和新蘆線/環狀線,O17/Y18,頭前庄站,【中和新蘆線】地下。【環狀線】高架。,【中和新蘆線】大廳層(B1)，近出口1、2。【環狀線】大廳層(1樓)，近出口1。,出口1,【環狀線】主詢問處旁,【中和新蘆線】付費區(B1)，近出口1；非付費區(B1)，近大廳中間。【環狀線】付費區(1樓)，近出口1；付費區(3樓)，近大廳電梯。,【中和新蘆線】第1節、第6節車廂。【環狀線】第1節、第4節車廂。,左側開門。,有,有,有,有,無,【中和新蘆線】0。【環狀線】出口--大廳無障礙閘門--月臺電梯--月臺。,1,1,1,0
中和新蘆線,O16,先嗇宮站,地下,大廳層(B1)，近出口1、3,出口1,主詢問處旁,付費區(B1)，近詢問處,第1節、第6節車廂,左側開門。,有,有,有,有,無,0,1,1,1,0
中和新蘆線,O15,三重站,地下,大廳層(B3)，近出口1,出口1,主詢問處旁,非付費區(B3)，近出口1；付費區(B3)，近往月臺電梯,第1節、第6節車廂,左側開門。,有,有,有,有,無,0,1,1,1,0
中和新蘆線,O14,菜寮站,地下,大廳層(B1)，近出口1、2,出口2,主詢問處旁,付費區(B1)，近出口3,第1節、第6節車廂,左側開門。,有,有,有,有,無,0,1,1,1,0
中和新蘆線,O13,台北橋站,地下,大廳層(B4)，近出口,單一出口,主詢問處旁,付費區(B4)，近詢問處；付費區(B4)，近大廳東側,第1節、第6節車廂,往迴龍-左側開門，往南勢角-右側開門。,有,有,有,有,無,0,1,1,1,0
中和新蘆線,O12,大橋頭站,地下,大廳層(B2)，近出口1,出口1後方,主詢問處旁,非付費區(B2)，近出口1；付費區(B2)，近出口2、3(大廳中間),第1節、第6節車廂,左側開門。,有,有,有,有,無,0,1,1,1,0
