項次,出入口電梯/無障礙坡道名稱,出入口編號,經度,緯度
180,南港展覽館站出口電梯3,出口5,121.6172314,25.0547923
181,十四張站出口電梯,單一出口,121.527244,24.983526
182,秀朗橋站出口電梯,出口2,121.5250094,24.9904982
183,景平站出口電梯,單一出口,121.516039,24.991992
184,中和站出口無障礙坡道,單一出口,121.4965351,25.002355
185,橋和站出口電梯,單一出口,121.4903747,25.0047922
186,中原站出口電梯,單一出口,121.4846089,25.0082755
187,板新站出口電梯,單一出口,121.4724853,25.0144302
188,新埔民生站出口電梯,單一出口,121.4668182,25.0261323
189,幸褔站出口電梯,出口1,121.460188,25.049854
190,新北產業園區站出口電梯,單一出口,121.4597405,25.0611067
