路線別,車站名稱,車站編號,電梯位置,更新日期
文湖線,動物園,BR01,"1.出口電梯：
出口1新光路2段（臨動物園）
出口2新光路2段（臨貓空纜車）
2.月臺電梯：大廳層樓梯後方",20260609
文湖線,木柵,BR02,月臺電梯：大廳層南側,20260609
文湖線,萬芳社區,BR03,月臺電梯：詢問處東西側,20260609
文湖線,萬芳醫院,BR04,"1.出口電梯：興隆路3段113號
2.月臺電梯：大廳層北側",20260609
文湖線,辛亥,BR05,月臺電梯：詢問處東西側,20260609
文湖線,麟光,BR06,月臺電梯：月臺層南側樓梯後方,20260609
文湖線,科技大樓,BR08,"1.出口電梯：
出口1(復興南路2段)
出口2(臨龍鳳公園)
2.月臺電梯：大廳層南側",20260609
文湖線,大安,BR09,月臺電梯：月臺層南側樓梯後方,20260609
文湖線,六張犁,BR07,"1.出口電梯：和平東路3段與基隆路2段交叉口
2.月臺電梯：大廳層北側樓梯後方",20260609
文湖線,忠孝復興,BR10,"1.出口電梯：出口2（忠孝東路3段與復興南路1段交叉口）
2.月臺電梯：
文湖線：月臺層南側樓梯後方
板南線：大廳層西側",20260609
文湖線,南京復興,BR11,"1.出口電梯：出口7（南京東路3段與復興北路交叉口東北隅）
2.月臺電梯：
文湖線：月臺層北側樓梯後方
3.轉乘電梯：往文湖線出口7轉乘通道旁",20260609
文湖線,中山國中,BF12,"1.出口電梯：近民權東路3段與復興北路交叉口
2.月臺電梯：大廳層北側樓梯後方",20260609
文湖線,松山機場,BR13,"1.出口電梯：出口1（松山機場東側）
                       出口2（松山機場西側）
                       出口3（松山機場正前方約40公尺）
2.月臺電梯：詢問處旁",20260609
文湖線,大直,BR14,"1.出口電梯：
出口1 大直街（大直婦女中心）
出口3 北安路與大直街交叉口（臨海基會）
2.月臺電梯：大廳層南側",20260609
文湖線,劍南路,BR15,"1.出口電梯：
出口1 北安路811巷
出口2 北安路798號
2.月臺電梯：大廳層東側",20260609
文湖線,西湖,BR16,"1.出口電梯：
出口1 內湖路1段（西湖市場旁）
出口2 內湖路1段（臨基湖路）
2.月臺電梯：大廳層東側",20260609
文湖線,港墘,BR17,"1.出口電梯：
出口1 臨內湖路1段667巷
出口2 內湖路1段（臨內湖高工）
2.月臺電梯：大廳層東側",20260609
文湖線,文德,BR18,"1.出口電梯：
出口1 文德路（內湖高中對面）
出口2 文德路（內湖高中旁）
2.月臺電梯：大廳層東側",20260609
文湖線,內湖,BR19,"1.出口電梯：
出口1 臨成功路4段182巷
出口2 臨成功路4段167巷
2.月臺電梯：大廳層西側",20260609
文湖線,大湖公園,BR20,"1.出口電梯：
出口1 成功路5段(大湖山莊街）
出口2 成功路5段(大湖公園）
2.月臺電梯：大廳層東側",20260609
文湖線,葫洲,BR21,"1.出口電梯：
出口1  康寧路3段39號旁
出口2  康寧路3段16巷側
2.月臺電梯：大廳層西側",20260609
文湖線,東湖,BR22,"1.出口電梯：
出口1 康寧路3段(臨康寧公園)
出口2 康寧路3段(臨南湖高中）
出口3 康寧路3段(臨安康公園）
2.月臺電梯：大廳層南側",20260609
文湖線,南港軟體園區,BR23,"1.出口電梯：
出口1 臨經貿二路185巷
出口2 臨經貿二路185巷
2.月臺電梯：大廳層西側",20260609
文湖線,南港展覽館,BR24,"文湖線：
1.出口電梯： 
出口1 南港展覽館南側
2.月臺電梯：大廳層西側
板南線：
1.出口電梯：出口5、6中央（臨南港路1段）及2A出口
2.月臺電梯：大廳層南側
3.轉乘電梯：大廳層西側",20260609
淡水信義線,淡水,R28,月臺電梯：大廳層北側,20260609
淡水信義線,紅樹林,R27,月臺電梯：樓梯後方,20260609
淡水信義線,竹圍,R26,月臺電梯：樓梯後方,20260609
淡水信義線,關渡,R25,月臺電梯：樓梯後方,20260609
淡水信義線,忠義,R24,月臺電梯：樓梯後方,20260609
淡水信義線,復興崗,R23,月臺電梯：樓梯後方,20260609
淡水信義線,北投,R22,"月臺電梯：
北側大廳層中央
南側大廳層中央",20260609
淡水信義線,新北投,R22A,月臺電梯：大廳層中央,20260609
淡水信義線,奇岩,R21,月臺電梯：大廳層中央,20260609
淡水信義線,唭哩岸,R20,月臺電梯：大廳層中央,20260609
淡水信義線,石牌,R19,"月臺電梯：
北側大廳層中央
南側大廳層中央",20260609
淡水信義線,明德,R18,月臺電梯：大廳層中央,20260609
淡水信義線,芝山,R17,"月臺電梯：
北側大廳層中央
南側大廳層中央",20260609
淡水信義線,士林,R16,月臺電梯：大廳層中央,20260609
淡水信義線,劍潭,R15,月臺電梯：大廳層北側近出口3、大廳層南側近出口2,20260609
淡水信義線,圓山,R14,月臺電梯：大廳層中央,20260609
淡水信義線,民權西路,R13,"1.出口電梯（中和新蘆線）：出口10（民權西路與天祥路口西北隅）
2.月臺電梯：
淡水信義線：大廳層中央
中和新蘆線：大廳層中央",20260609
淡水信義線,雙連,R12,"1.出口電梯：出口2（臨民生西路北側）
2.月臺電梯：大廳層中央，詢問處正後方",20260609
淡水信義線,中山,R11,"1.出口電梯：
出口4（南京西路北側之淡水線線形公園內）
出口5（南京西路與赤峰街交叉東北隅）
出口6（南京西路與赤峰街交叉東南隅）
2.月臺電梯：
淡水信義線：大廳層中央
松山新店線：大廳層東側",20260609
